# Vertices
# Vertex ID, Square ID
0,79
1,28
2,77
3,29
4,42
5,30
6,38
7,31
8,56
9,78
10,8
11,34
12,46
13,99
14,16
15,93
16,3
17,25
18,28
19,75
20,41
21,19
22,75
23,69
24,59
25,1
26,13
27,8
28,36
29,97
30,89
31,77
32,86
33,71
34,99
35,29
36,67
37,23
38,88
39,84
40,67
41,64
42,30
43,53
44,32
45,40
46,0
47,66
48,62
49,44
50,77
51,2
52,28
53,94
54,80
55,37
56,5
57,56
58,53
59,89
60,7
61,66
62,54
63,74
64,29
65,81
66,7
67,97
68,49
69,78
70,70
71,85
72,77
73,78
74,0
75,19
76,47
77,98
78,19
79,32
80,12
81,19
82,28
83,91
84,1
85,81
86,50
87,63
88,56
89,72
90,49
91,64
92,63
93,35
94,81
95,20
96,29
97,22
98,94
99,17
